product_category_name_english,product_category_name
agro_industry_and_commerce,agro_industria_e_comercio
food,alimentos
food_drink,alimentos_bebidas
art,artes
arts_and_craftmanship,artes_e_artesanato
party_supplies,artigos_de_festas
christmas_supplies,artigos_de_natal
audio,audio
auto,automotivo
baby,bebes
drinks,bebidas
health_beauty,beleza_saude
toys,brinquedos
bed_bath_table,cama_mesa_banho
home_confort,casa_conforto
home_comfort_2,casa_conforto_2
home_construction,casa_construcao
cds_dvds_musicals,cds_dvds_musicais
cine_photo,cine_foto
air_conditioning,climatizacao
consoles_games,consoles_games
construction_tools_construction,construcao_ferramentas_construcao
costruction_tools_tools,construcao_ferramentas_ferramentas
construction_tools_lights,construcao_ferramentas_iluminacao
costruction_tools_garden,construcao_ferramentas_jardim
construction_tools_safety,construcao_ferramentas_seguranca
cool_stuff,cool_stuff
dvds_blu_ray,dvds_blu_ray
home_appliances,eletrodomesticos
home_appliances_2,eletrodomesticos_2
electronics,eletronicos
small_appliances,eletroportateis
sports_leisure,esporte_lazer
fashion_bags_accessories,fashion_bolsas_e_acessorios
fashion_shoes,fashion_calcados
fashion_sport,fashion_esporte
fashio_female_clothing,fashion_roupa_feminina
fashion_childrens_clothes,fashion_roupa_infanto_juvenil
fashion_male_clothing,fashion_roupa_masculina
fashion_underwear_beach,fashion_underwear_e_moda_praia
garden_tools,ferramentas_jardim
flowers,flores
diapers_and_hygiene,fraldas_higiene
industry_commerce_and_business,industria_comercio_e_negocios
computers_accessories,informatica_acessorios
musical_instruments,instrumentos_musicais
la_cuisine,la_cuisine
books_imported,livros_importados
books_general_interest,livros_interesse_geral
books_technical,livros_tecnicos
luggage_accessories,malas_acessorios
market_place,market_place
furniture_mattress_and_upholstery,moveis_colchao_e_estofado
kitchen_dining_laundry_garden_furniture,moveis_cozinha_area_de_servico_jantar_e_jardim
furniture_decor,moveis_decoracao
office_furniture,moveis_escritorio
furniture_bedroom,moveis_quarto
furniture_living_room,moveis_sala
music,musica
others,outros
stationery,papelaria
pc_gamer,pc_gamer
computers,pcs
perfumery,perfumaria
pet_shop,pet_shop
small_appliances_home_oven_and_coffee,portateis_casa_forno_e_cafe
portable_kitchen_food_processors,portateis_cozinha_e_preparadores_de_alimentos
watches_gifts,relogios_presentes
security_and_services,seguros_e_servicos
signaling_and_security,sinalizacao_e_seguranca
tablets_printing_image,tablets_impressao_imagem
telephony,telefonia
fixed_telephony,telefonia_fixa
housewares,utilidades_domesticas
